References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C3, C4, C5, C6, C7	5	CC0402KRX7R6BB104		CC0402KRX7R6BB104	311-1345-1-ND	603CC402KRX7R6BB104	6698690	65R7660	2370641
C8, C9	2	CC0402KRX5R6BB105		CC0402KRX5R6BB105	311-1439-1-ND	603CC402KRX5R6BB105		65R7648	1458896
D1	1	SML-D12V1WT86		SML-D12V1WT86	SML-D12V1WT86CT-ND	755SMLD12V1WT86	1332871	32AC3333	
R1	1	RC0402JR-0733RL		RC0402JR-0733RL	311-33JRCT-ND	603RC0402JR0733RL		68R0002	2693646
U1	1	STM32F103TBU6		STM32F103TBU6	497-11534-ND	511STM32F103TBU6	7956953P	73T7106	1899015
U2	1	MCP1700T-3302E/TT		MCP1700T-3302E/TT	MCP1700T3302ETTCT-ND	579MCP1700T3302E/TT	6989044P	26M1270	1296592
U3	1	NUF2221W1T2G		NUF2221W1T2G	NUF2221W1T2GOSCT-ND	863NUF2221W1T2G	7916296P	04R7861	2101235
U4	1	DRV5032FADMRT		DRV5032FADMRT	296-47428-1-ND	595DRV5032FADMRT		42AC9936	2802908
Y1	1	CSTNE8M00GH5C000R0		CSTNE8M00GH5C000R0	490-17961-1-ND	81CSTNE8M00GH5C000R			
